"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "TypeScript", "CSS", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\SwissTech\frontend\.editorconfig", "Properties", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\xampp\htdocs\SwissTech\frontend\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 28
"c:\xampp\htdocs\SwissTech\frontend\angular.json", "JSON", 108, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 127
"c:\xampp\htdocs\SwissTech\frontend\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 2, 32
"c:\xampp\htdocs\SwissTech\frontend\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\xampp\htdocs\SwissTech\frontend\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\SwissTech\frontend\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\SwissTech\frontend\karma.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 2, 33
"c:\xampp\htdocs\SwissTech\frontend\package-lock.json", "JSON", 13330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13331
"c:\xampp\htdocs\SwissTech\frontend\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\xampp\htdocs\SwissTech\frontend\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 11, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\SwissTech\frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 4, 84
"c:\xampp\htdocs\SwissTech\frontend\src\app\app.routing.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 6, 50
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\alert\alert.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\alert\alert.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
