Date : 2020-05-01 10:36:18
Directory : c:\xampp\htdocs\SwissTech\frontend
Total : 170 files,  19135 codes, 402 comments, 929 blanks, all 20466 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     13,655 |         19 |          6 |     13,680 |
| TypeScript |         84 |      3,142 |        258 |        707 |      4,107 |
| HTML       |         27 |      1,878 |        102 |        114 |      2,094 |
| XML        |          7 |        198 |          4 |          4 |        206 |
| SCSS       |         12 |         96 |          8 |         28 |        132 |
| CSS        |         28 |         89 |          2 |         49 |        140 |
| JavaScript |          2 |         53 |          8 |          4 |         65 |
| Markdown   |          1 |         14 |          0 |         14 |         28 |
| Properties |          1 |         10 |          1 |          3 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        170 |     19,135 |        402 |        929 |     20,466 |
| e2e                                                                                                                              |          4 |         64 |          7 |         11 |         82 |
| e2e\src                                                                                                                          |          2 |         27 |          1 |          8 |         36 |
| src                                                                                                                              |        156 |      5,376 |        373 |        894 |      6,643 |
| src\app                                                                                                                          |        129 |      4,939 |        288 |        810 |      6,037 |
| src\app\components                                                                                                               |        100 |      4,229 |        263 |        679 |      5,171 |
| src\app\components\alert                                                                                                         |          4 |         55 |          0 |         18 |         73 |
| src\app\components\checkout                                                                                                      |         16 |        466 |         35 |        106 |        607 |
| src\app\components\checkout\contact-information                                                                                  |          4 |         60 |          3 |         21 |         84 |
| src\app\components\checkout\payment-method                                                                                       |          4 |        248 |         20 |         47 |        315 |
| src\app\components\checkout\review                                                                                               |          4 |        119 |          9 |         21 |        149 |
| src\app\components\home                                                                                                          |         16 |        230 |          4 |         77 |        311 |
| src\app\components\home\filters                                                                                                  |          4 |         48 |          0 |         17 |         65 |
| src\app\components\home\product-list                                                                                             |          8 |         91 |          1 |         31 |        123 |
| src\app\components\home\product-list\product-card                                                                                |          4 |         53 |          0 |         14 |         67 |
| src\app\components\layout                                                                                                        |          8 |        152 |          0 |         41 |        193 |
| src\app\components\layout\footer                                                                                                 |          4 |         32 |          0 |         13 |         45 |
| src\app\components\layout\header                                                                                                 |          4 |        120 |          0 |         28 |        148 |
| src\app\components\login                                                                                                         |          4 |        101 |          4 |         18 |        123 |
| src\app\components\my-profile                                                                                                    |         32 |      2,150 |        114 |        264 |      2,528 |
| src\app\components\my-profile\admin-panel                                                                                        |         16 |      1,299 |         70 |        166 |      1,535 |
| src\app\components\my-profile\admin-panel\manage-admins                                                                          |          4 |        166 |         16 |         26 |        208 |
| src\app\components\my-profile\admin-panel\manage-customers                                                                       |          4 |        437 |         14 |         35 |        486 |
| src\app\components\my-profile\admin-panel\manage-orders                                                                          |          4 |        232 |          9 |         40 |        281 |
| src\app\components\my-profile\admin-panel\manage-products                                                                        |          4 |        464 |         31 |         65 |        560 |
| src\app\components\my-profile\edit-profile                                                                                       |          4 |        544 |         38 |         45 |        627 |
| src\app\components\my-profile\my-orders                                                                                          |          4 |        206 |          6 |         27 |        239 |
| src\app\components\my-profile\sidebar                                                                                            |          4 |         64 |          0 |         13 |         77 |
| src\app\components\product-details                                                                                               |          4 |        239 |         33 |         40 |        312 |
| src\app\components\register                                                                                                      |          4 |        537 |         54 |         50 |        641 |
| src\app\components\shared                                                                                                        |          8 |        115 |          0 |         30 |        145 |
| src\app\components\shared\add-to-cart                                                                                            |          4 |         83 |          0 |         17 |        100 |
| src\app\components\shared\pagination                                                                                             |          4 |         32 |          0 |         13 |         45 |
| src\app\components\shopping-cart                                                                                                 |          4 |        184 |         19 |         35 |        238 |
| src\app\helpers                                                                                                                  |          5 |        105 |         12 |         30 |        147 |
| src\app\models                                                                                                                   |         11 |        108 |          0 |          3 |        111 |
| src\app\services                                                                                                                 |          8 |        336 |          9 |         71 |        416 |
| src\assets                                                                                                                       |         20 |        322 |         13 |         40 |        375 |
| src\assets\images                                                                                                                |          7 |        198 |          4 |          4 |        206 |
| src\assets\images\icons                                                                                                          |          7 |        198 |          4 |          4 |        206 |
| src\assets\scss                                                                                                                  |         13 |        124 |          9 |         36 |        169 |
| src\assets\scss\base                                                                                                             |          2 |          6 |          0 |          1 |          7 |
| src\assets\scss\component                                                                                                        |          1 |         14 |          0 |          5 |         19 |
| src\assets\scss\layout                                                                                                           |          2 |         12 |          0 |          6 |         18 |
| src\assets\scss\pages                                                                                                            |          3 |         47 |          0 |          7 |         54 |
| src\assets\scss\utilities                                                                                                        |          2 |          6 |          2 |          0 |          8 |
| src\assets\scss\vendors                                                                                                          |          1 |          0 |          0 |          2 |          2 |
| src\environments                                                                                                                 |          2 |          8 |         11 |          4 |         23 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                         | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\SwissTech\frontend\.editorconfig                                                                                 | Properties |         10 |          1 |          3 |         14 |
| c:\xampp\htdocs\SwissTech\frontend\README.md                                                                                     | Markdown   |         14 |          0 |         14 |         28 |
| c:\xampp\htdocs\SwissTech\frontend\angular.json                                                                                  | JSON       |        108 |         19 |          0 |        127 |
| c:\xampp\htdocs\SwissTech\frontend\e2e\protractor.conf.js                                                                        | JavaScript |         24 |          6 |          2 |         32 |
| c:\xampp\htdocs\SwissTech\frontend\e2e\src\app.e2e-spec.ts                                                                       | TypeScript |         18 |          1 |          5 |         24 |
| c:\xampp\htdocs\SwissTech\frontend\e2e\src\app.po.ts                                                                             | TypeScript |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\SwissTech\frontend\e2e\tsconfig.json                                                                             | JSON       |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\SwissTech\frontend\karma.conf.js                                                                                 | JavaScript |         29 |          2 |          2 |         33 |
| c:\xampp\htdocs\SwissTech\frontend\package-lock.json                                                                             | JSON       |     13,330 |          0 |          1 |     13,331 |
| c:\xampp\htdocs\SwissTech\frontend\package.json                                                                                  | JSON       |         51 |          0 |          1 |         52 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\app.component.css                                                                     | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\app.component.html                                                                    | HTML       |         12 |          3 |         11 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\app.component.ts                                                                      | TypeScript |         26 |          0 |          5 |         31 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\app.module.ts                                                                         | TypeScript |         80 |          0 |          4 |         84 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\app.routing.ts                                                                        | TypeScript |         43 |          1 |          6 |         50 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\alert\alert.component.css                                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\alert\alert.component.html                                                 | HTML       |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\alert\alert.component.spec.ts                                              | TypeScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\alert\alert.component.ts                                                   | TypeScript |         30 |          0 |          8 |         38 |
| c:\xampp\htdocs\SwissTech\frontend\src\app\components\checkout\checkout.component.css                                            | CSS        |          0 |          0 |          1 |          1 |
